CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Pesticides (carbamate),Carbofuran,CHEBI:38474,,1563-38-8,Carbofuran-phenol,carbofuran-phenol,carphe,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:33369,,7440-45-1,Cerium,Ce,ce,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:30514,,7440-46-2,Cesium,Cs,cs,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (pyrethroids),Bifenthrin;Cyhalothrin,,SPVZAYWHHVLPBN-WREUKLMHSA-N,,Chlorotrifluorovinylcyclo-propane carboxylic acid,CIF3CA,cifca,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Propan-2-yl N-(3-chlorophenyl)carbamate,,ZEAREOZFWMROEI-UHFFFAOYSA-N,,Chlorpropham-4-hydroxy-O-sulfonic acid,4-HSA,fourhsa,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos,CHEBI:34631,,2921-88-2,Chlorpyrifos,chlorpyrifos,chlorpyr,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:34632,,5598-13-0,Chlorpyrifos-methyl,chlorpyrifos-methyl,chlormet,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos-methyl,,DYESOQMZDNCQNZ-UHFFFAOYSA-N,,Chlorpyrifos-methyl-desmethyl,Chlorpyrifos-methyl-desmethyl,chlormetdes,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,XCBOKUAJQWDYNI-UHFFFAOYSA-N,,Chlorpyrifos-methyl-oxon,chlorpyrifos-methyl-oxon,chlormetox,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,OTMOUPHCTWPNSL-UHFFFAOYSA-N,,Chlorpyrifos-oxon,chlorpyrifos-oxon,chlorox,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Lipids and lipid transport proteins,,CHEBI:16113,,57-88-5,Cholesterol,CHOL,chol,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Chromium,CHEBI:28073,,7440-47-3,Chromium,Cr,tcr,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),,CHEBI:132404,,65945-06-4,Chrysen-2-ol,2-CRY,twocry,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),,CHEBI:132405,,63019-39-6,Chrysen-3-ol,3-CRY,threecry,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),,CHEBI:132406,,63019-40-9,Chrysen-4-ol,4-CRY,fourcry,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Chrysene,CHEBI:51687,,,Chrysene,CRY,cry,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (pyrethroids),Deltamethrin,,MDIQXIJPQWLFSD-INEUFUBQSA-N,,"Cis-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropane-1-carboxylic acid",cis-DBCA,cisdbca,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:39068,,5103-71-9,Cis-chlordane,α-chlordane,achlor,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Organochlorine compounds (OCs),Chlordane,CHEBI:81540,,39765-80-5,Cis-nonachlor,,cisnonac,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Citrinin,CHEBI:48707,,518-75-2,Citrinin,CIT,cit,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine",,ZTLCLYBKONTDBT-UHFFFAOYSA-N,,Clothianidin desmethyl,Clothianidin desmethyl,clothdes,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:27638,,7440-48-4,Cobalt,Co,co,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:28694,,,Copper,Cu,cu,,,,,,,,,,,,,,,,,,,,,,,,,
Stress hormones,,CHEBI:17650,,50-23-7,Cortisol,,crtl,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammation and immunity;Steroid/Sex hormones,,CHEBI:16962,,53-06-5,Cortison,,crtn,,,,,,,,,,,,,,,,,,,,,,,,,
Alkaloid,,CHEBI:68641,,486-56-6,Cotinine,,cot,,,,,,,,,,,,,,,,,,,,,,,,,
Property of urine,,CHEBI:16737,,60-27-5,Creatinine,CRT,crt,,,,,,,,,,,,,,,,,,,,,,,,,
DINCH,"Di-isononyl cyclohexane-1,2-dicarboxylate",,HGYNPCSGHWFMTB-UHFFFAOYSA-N,,"Cyclohexane-1,2-dicarboxylate-mono-(7-carboxylate-4-methyl)heptyl ester",cx-MINCH,mcoch,,,,,,,,,,,,,,,,,,,,,,,,,
DINCH,"Di-isononyl cyclohexane-1,2-dicarboxylate",,,,"Cyclohexane-1,2-dicarboxylate-mono-(7-hydroxy-4-methyl)octyl ester",OH-MINCH,mhnch,,,,,,,,,,,,,,,,,,,,,,,,,
DINCH,"Di-isononyl cyclohexane-1,2-dicarboxylate",,GDOQGHAKQNDFFH-UHFFFAOYSA-N ,,"Cyclohexane-1,2-dicarboxylate-mono-(7-oxo-4-methyl)octyl ester",oxo-MINCH,monch,,,,,,,,,,,,,,,,,,,,,,,,,
DINCH,"Di-isononyl cyclohexane-1,2-dicarboxylate",,HQEIYBJWBXYUOH-UHFFFAOYSA-N,,"Cyclohexane-1,2-dicarboxylic acid mono-isononyl ester",MINCH,minch,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Cyclopenta[c,d]pyrene",,,,"Cyclopenta[c,d]pyrene",CPP,cpp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Cyprodinil,,LBDZGKRFRHHISM-UHFFFAOYSA-N,,Cyprodinil-OH (hydroxycyprodinil),OH-CYPRODINIL,cyprodiniloh,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Decabromodiphenylethane,,BZQKBFHEWDPQHD-UHFFFAOYSA-N,,Decabromodiphenylethane,DBDPE,dbdpe,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Dechlorane 602,,CDBKZZACXQLFMK-UHFFFAOYSA-N,,Dechlorane 602,Dec602,dectwo,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Dechlorane 603,,WSEXCYJMFQVEIN-UHFFFAOYSA-N,,Dechlorane 603,Dec603,decthree,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Dechlorane 604,,PHYHWKJTYWPNCS-PDPXOMPHSA-N,,Dechlorane 604,Dec604,decfour,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,,ZACLXWTWERGCLX-MDUHGFIHSA-N,,Deepoxy-deoxynivalenol,DOM-1,tdomone,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,,ZACLXWTWERGCLX-MDUHGFIHSA-N,,Deepoxy-deoxynivalenol,DOM-1,domone,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,CHEBI:10022,,51481-10-8,Deoxynivalenol,DON,fdon,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,CHEBI:10022,,51481-10-8,Deoxynivalenol,DON,tdon,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,,,,Deoxynivalenol-15-acetate,15-acetyl-DON,facetyldon,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,,GWMAFZPFSLUKMN-IJNZYEPRSA-N,,Deoxynivalenol-15-glucuronide,DON-15-GlcA,donfglca,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,CHEBI:168268,,131180-21-7,Deoxynivalenol-3-glucoside,DON-3-glucoside,domgluc,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Deoxynivalenol,,GRFAWUZMBBQEMX-IJNZYEPRSA-N,,Deoxynivalenol-3-glucuronide,DON-3-GlcA,dontglca,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,CHEBI:83463,,,Desethyl 2-hydroxy atrazine,,des2hyat,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,CHEBI:28212,,6190-65-4,Desethyl atrazine,,desat,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,,,,Desethyl desisopropyl 2-hydroxy atrazine,,desdesiso2hyat,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,,FVFVNNKYKYZTJU-UHFFFAOYSA-N,,Desethyl desisopropyl atrazine,,desdesisoat,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,,,,Desisopropyl 2-hydroxy atrazine,,desiso2hyat,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicides,Atrazine,CHEBI:27399,,1007-28-9,Desisopropyl atrazine,,desisoat,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide",,JDTUGRDKAOPKRI-UHFFFAOYSA-N,,Desnitro-thiamethoxam,Thiamethoxam-desnitro,thiamethdesnitro,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Tri-n-butyl phosphate,CHEBI:166473,,107-66-4,Di-n-butyl phosphate,DnBP,dnbphr,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,,CHEBI:34687,,84-74-2,Di-n-butyl phthalate,DnBP,dnbpht,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Diacetoxyscirpenol,CHEBI:4478,,2270-40-8,Diacetoxyscirpenol,DAS,das,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:16648,,,Dialkyl phosphate,,dap,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Dibenzo[a,e]pyrene",CHEBI:82442,,192-65-4,"Dibenzo[a,e]pyrene",DBaeP,dbaep,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Dibenzo[a,h]anthracene",CHEBI:35299,,53-70-3,"Dibenzo[a,h]anthracene",DBahA,dbaha,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Dibenzo[a,i]pyrene",CHEBI:82314,,189-55-9,"Dibenzo[a,i]pyrene",DBaiP,dbaip,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Dibenzo[a,l]pyrene",CHEBI:35861,,191-30-0,"Dibenzo[a,l]pyrene",DBalP,dbalp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,AYOHIQLKSOJJQH-UHFFFAOYSA-N,,Dibutyltin,DBT,dbt,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Organochlorine compounds (OCs),Dichlorodiphenyltrichloroethane,CHEBI:16598,,72-55-9,Dichlorodiphenyldichloroethylene,"p,p'-DDE",ppdde,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Organochlorine compounds (OCs),Dichlorodiphenyltrichloroethane,CHEBI:16130,,50-29-3,Dichlorodiphenyltrichloroethane,"p,p'-DDT",ppddt,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:34696,,60-57-1,Dieldrin,dieldrin,dieldrin,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos (and other diethyl organophosphate insecticides),CHEBI:27708,,598-02-7,Diethyl phosphate,DEP,dep,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,,CHEBI:34698,,84-66-2,Diethyl phthalate,DEP,depht,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos (and other diethyl organophosphate insecticides),CHEBI:156216,,,Diethyl thiophosphate,DETP,detp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos (and other diethyl organophosphate insecticides),CHEBI:166464,,,Diethyldithiophosphate,DEDTP,dedtp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1-[[2-[2-chloro-4-(4-chlorophenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",,HCYKJGWQCCFTNV-UHFFFAOYSA-N,,Difenoconazole CGA205374,Difenoconazole CGA-205374,difenoconcga,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,NBYSKMWDHCZSIP-UHFFFAOYSA-N,,Difenoconazole CGA205375,Difenoconazole CGA-205375,difenoconazolecga,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,,CHEBI:79053,,84-69-5,Diisobutyl phthalate,,dibp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos-methyl (and other dimethyl organophosphate insecticides);Dimethoate,CHEBI:189748,,,Dimethyl dithiophosphate,DMDTP,dmdtp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos-methyl (and other dimethyl organophosphate insecticides);Dimethoate,CHEBI:166474,,813-78-5,Dimethyl phosphate,DMP,dmp,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Chlorpyrifos-methyl (and other dimethyl organophosphate insecticides);Dimethoate,,WWJJVKAEQGGYHJ-UHFFFAOYSA-N,,Dimethyl thiophosphate,DMTP,dmtp,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Arsenic,,OGGXGZAMXPVRFZ-UHFFFAOYSA-N,,Dimethylarsinic,DMA,dma,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,HGQSXVKHVMGQRG-UHFFFAOYSA-N,,Dioctyltin,DOT,dot,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates;Flame retardants,Triphenyl phosphate,CHEBI:166468,,838-85-7,Diphenyl phosphate,DPHP,dphpms,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,KUCPUSUXIGWHFB-UHFFFAOYSA-N,,Diphenyltin,DPhT,dpht,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:81526,,72-20-8,Endrin,endrin,endrin,,,,,,,,,,,,,,,,,,,,,,,,,
Steroid/Sex hormones,,CHEBI:16469,,50-28-2,Estradiol,,e2,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,2-(2-ethoxyethoxy)ethanol,CHEBI:131424,,7743-94-4,Ethoxyethoxyacetic acid,EEAA,eeaa,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides (carbamate),Ethylenebisdithiocarbamates,CHEBI:34750,,96-45-7,Ethylenethiourea,ETU,etu,,,,,,,,,,,,,,,,,,,,,,,,,
Parabens,Ethyl 4-hydroxybenzoate,CHEBI:31575,,120-47-8,Ethylparaben,EtP,etpar,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,IAJWDDOJYUXIHE-UHFFFAOYSA-N,,Ethyltriphenyltin,TPhT,tpht,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Fipronil,CHEBI:5063,,,Fipronil,,fipronil,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Fipronil,CHEBI:83487,,120068-36-2,Fipronil sulfone,,fipsul,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),,,,,"Measured Sum of 1-, 2-, 3-, 4- and 9- hydroxyphenanthrenes",Measured 1 + 2 + 3 + 4 + 9-PHEN,fivehphe,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,N-[2-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]ethyl]-2-(trifluoromethyl)benzamide,,QBAYIBZITZBSFO-UHFFFAOYSA-N,,Fluopyram benzamide,Fluopyram benzamide,fluopyramben,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Fluoranthene,CHEBI:33083,,206-44-0,Fluoranthene,FLA,fla,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),Fluorene,CHEBI:28266,,86-73-7,Fluorene,FLUO,fluo,,,,,,,,,,,,,,,,,,,,,,,,,
Steroid/Sex hormones,,,ZDRRIRUAESZNIH-UHFFFAOYSA-N,,Follicle-stimulating hormone,FSH,fsh,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Fumonisin B1,CHEBI:38221,,116355-83-0,Fumonisin B1,FB1,fbone,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Fumonisin B2,CHEBI:38225,,116355-84-1,Fumonisin B2,FB2,fbtwo,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Fumonisin B3,CHEBI:169172,,136379-59-4,Fumonisin B3,FB3,fbthree,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Fusarenon-X,CHEBI:82577,,23255-69-8,Fusarenon-X,FUS-X,fusx,,,,,,,,,,,,,,,,,,,,,,,,,
Musks,,CHEBI:83784,,1222-05-5,Galaxolide,,galax,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:49631,,,Gallium,Ga,ga,,,,,,,,,,,,,,,,,,,,,,,,,
Liver function,,CHEBI:27694,,56488-60-9,Gamma-GT,,gammagt,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Organochlorine compounds (OCs),Hexachlorocyclohexane,,,,Gamma-hexachlorocyclohexane,,ghch,,,,,,,,,,,,,,,,,,,,,,,,,
Lab markers for cardiometabolic health and metabolic diseases,,CHEBI:17234,,,Glucose,,glucose,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Glyphosate,CHEBI:27744,,1071-83-6,Glyphosate,GLY,glyp,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:29287,,7440-57-5,Gold,Au,au,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:33343,,7440-58-6,Hafnium,Hf,hf,,,,,,,,,,,,,,,,,,,,,,,,,
Blood and blood composition,,,INGWEZCOABYORO-UHFFFAOYSA-N,,Hemoglobin,,hb,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:34785,,76-44-8,Heptachlor,HEPTACHLOR,heptachlor,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,,Heptachlor exo-epoxide (cis),,cishepexepo,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,,ZXFXBSWRVIQKOD-WOBUKFROSA-N,,Heptachlor exo-epoxide (trans),,transhepexepo,,,,,,,,,,,,,,,,,,,,,,,,,
Parabens,,CHEBI:34788,,1085-12-7,Heptylparaben,heptylP,hepip,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Hexabromobenzene,,CAYGQBVSOZLICD-UHFFFAOYSA-N,,Hexabromobenzene,HBB,hbb,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Hexabromobiphenyl,,,,Hexabromobiphenyl,PBB-153,pbb153,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Hexabromocyclododecane alpha,,DEIGXXQKDWULML-PQTSNVLCSA-N,,Hexabromocyclododecane alpha,HBCDα,hbcda,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Hexabromocyclododecane beta,,DEIGXXQKDWULML-UFVWWTPHSA-N,,Hexabromocyclododecane beta,HBCDβ,hbcdb,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Hexabromocyclododecane gamma,,DEIGXXQKDWULML-MOCCIAMBSA-N,,Hexabromocyclododecane gamma,HBCDγ,hbcdg,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides;Organochlorine compounds (OCs),,CHEBI:5692,,118-74-1,Hexachlorobenzene,HCB,hcb,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Hexachlorocyclopentadienyl-dibromocyclooctane,,OZQOUGTVRWVFRK-UHFFFAOYSA-N,,Hexachlorocyclopentadienyl-dibromocyclooctane,HCDBCO,hcdbco,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Chromium,CHEBI:33007,,18540-29-9,Hexavalent chromium,Cr VI,crsix,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),,CHEBI:91642,,118-56-9,Homosalate,,hosa,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,HT-2 Toxin,CHEBI:138861,,26934-87-2,HT-2 Toxin,HT-2,httwo,,,,,,,,,,,,,,,,,,,,,,,,,
Mycotoxins,Fumonisin B1,,,,Hydrolysed-fumonisin B1,HFB1,hfbone,,,,,,,,,,,,,,,,,,,,,,,,,
Organochlorine compounds (OCs),,,,,Hydroxylated Polychlorinated biphenyl 107,,hocb107,,,,,,,,,,,,,,,,,,,,,,,,,
Organochlorine compounds (OCs),,,,,Hydroxylated Polychlorinated biphenyl 146,,hocb146,,,,,,,,,,,,,,,,,,,,,,,,,
Organochlorine compounds (OCs),,,,,Hydroxylated Polychlorinated biphenyl 187,,hocb187,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,Triphenyl phosphate,,NOPNBQOZUKISRP-UHFFFAOYSA-N,,Hydroxyphenyl diphenyl phosphate,HO-TPHP,ohtphp,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,,,,Arsenic(III) acid + Arsenic(V) acid,As(III) + As(V),ias,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammation and immunity,,CHEBI:62462,,3373-53-3,IgA,,iga,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammation and immunity,,,NWLUZGJDEZBBRH-UHFFFAOYSA-N,,IgE,,ige,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammation and immunity,,,VSLIZFRORGVSOU-UHFFFAOYSA-N,,IgM,,igm,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Imidacloprid,,YWTYJOPNNQFBPC-UHFFFAOYSA-N,,Imidacloprid,Imidacloprid,imidacloprid,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Imidacloprid,,MATMQDMQFSFQHB-UHFFFAOYSA-N,,Imidacloprid-5-OH,Imidacloprid-5-OH,imidacloprid5oh,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Imidacloprid,,UEQZFAGVRGWPDK-UHFFFAOYSA-N,,Imidacloprid desnitro,Imidacloprid desnitro,desnitroimidacloprid,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,Imidacloprid,,TYLCDJYHUVCRBH-UHFFFAOYSA-N,,Imidacloprid olefin,Imidacloprid olefin,imidaclopridolefin,,,,,,,,,,,,,,,,,,,,,,,,,
Polycyclic Aromatic Hydrocarbons (PAHs),"Indeno[1,2,3-cd]pyrene",CHEBI:82335,,193-39-5,"Indeno[1,2,3-cd]pyrene",IP,ip,,,,,,,,,,,,,,,,,,,,,,,,,
Metabolic hormones,,CHEBI:145810,,,Insulin,,insulin,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammation and immunity;Cytokines,,,XKTZWUACRZHVAN-VADRZIEHSA-N,,Interleukin 8,IL-8,il8,,,,,,,,,,,,,,,,,,,,,,,,,
Essential elements,,CHEBI:24859,,,Iodium,,iod,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:49666,,,Iridium,Ir,ir,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,,CHEBI:18248,,7439-89-6,Iron,Fe,fe,,,,,,,,,,,,,,,,,,,,,,,,,
Parabens,,CHEBI:178256,,4247-02-3,Iso-butylparaben,isobutylP,isobip,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),,CHEBI:135982,,71617-10-2,Isoamyl p-methoxycinnamate,,imz,,,,,,,,,,,,,,,,,,,,,,,,,
Parabens,,CHEBI:179285,,4191-73-5,Isopropylparaben,,iproppar,,,,,,,,,,,,,,,,,,,,,,,,,
Metals,Lead,CHEBI:25016,,,Lead,Pb,pb,,,,,,,,,,,,,,,,,,,,,,,,,
Metabolic hormones,,,NRYBAZVQPHGZNS-ZSOCWYAHSA-N,,Leptin,,leptin,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched 2-(N-Methylperfluorooctanesulfonamido)acetic acid,L+B MePFOSAA,lbnmepfosaa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched N-ethyl-perfluorooctane sulfonamidoacetate,L+B EtPFOSAA,lbetpfosaa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched N-Ethylperfluoro-1-octanesulphonamide,L+B EtPFOSA,lbnetpfosa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched N-Methylperfluoro-1 octanesulphonamide,L+B MePFOSA,lbnmepfosa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluoro-1-octaperfluoro-1-octanesulphonamide,L+B PFOSA,lbpfosa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorobutane sulfonic acid,L+B PFBS,lbpfbs,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorodecane sulfonic acid,L+B PFDS,lbpfds,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorodecanoic acid,L+B PFDA,lbpfda,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorododecanoic acid,L+B PFDoDA,lbpfdoda,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluoroheptane sulfonic acid,L+B PFHpS,lbpfhps,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluoroheptanoic acid,L+B PFHpA,lbpfhpa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorohexane sulfonic acid,L+B PFHxS,lbpfhxs,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorohexanoic acid,L+B PFHxA,lbpfhxa,,,,,,,,,,,,,,,,,,,,,,,,,
Per-/poly-fluorinated compounds (PFASs),,,,,Linear + branched Perfluorononanoic acid,L+B PFNA,lbpfna,,,,,,,,,,,,,,,,,,,,,,,,,
