CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Furans,,CHEBI:81511,,57117-44-9,"1,2,3,6,7,8-Hexatachlorodibenzofuran","1,2,3,6,7,8-HxCDF",pcdf121,,,,,,,,,,,,,,,,,,,,,,,,,
Dioxins;Organochlorine compounds (OCs),,CHEBI:81501,,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin","1,2,3,7,8-PeCDD",pecdd,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI:81507,,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran","1,2,3,7,8-PeCDF",pcdf94,,,,,,,,,,,,,,,,,,,,,,,,,
Dioxins;Organochlorine compounds (OCs),,CHEBI:81504,,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin","1,2,3,7,8,9-HxCDD",pcdd70,,,,,,,,,,,,,,,,,,,,,,,,,
Furans,,CHEBI:81510,,72918-21-9,"1,2,3,7,8,9-Hexatachlorodibenzofuran","1,2,3,7,8,9-HxCDF",pcdf124,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"1,2,5,6-tetrabromocyclooctane",,RZLXIANUDLLFHN-UHFFFAOYSA-N,,"1,2,5,6-tetrabromocyclooctane",TBCO,tbco,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,,,QJAHHFISACBARL-UHFFFAOYSA-N,,"1,3,5-Tribromo-2-(2,3-dibromopropyl)benzene",DPTE,dpte,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Tri-(2-ethylhexyl) trimellitate,,,,"1,4-di-(2-ethylhexyl) trimellitate","1,4-DEHTM",onefourdehtm,,,,,,,,,,,,,,,,,,,,,,,,,
Steroid/Sex hormones,,CHEBI:16469,,50-28-2,17beta-oestradiol,,estr,,,,,,,,,,,,,,,,,,,,,,,,,
Glycol ethers,2-(2-(2-methoxyethoxy)ethoxy)ethanol;2-(2-methoxyethoxy)ethanol,,CLLLODNOQBVIMS-UHFFFAOYSA-N,,2-(2-methoxyethoxy)acetic acid,MEAA,meaa,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",,MEFQWPUMEMWTJP-UHFFFAOYSA-N,,"2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",Fluroxypyr,fluroxypyr,,,,,,,,,,,,,,,,,,,,,,,,,
